year,make,model,trim,days_to_sell
2012,Mitsubishi,Pajero,"GLS Highline",94
2012,Mitsubishi,Pajero,"GLS Highline",109
2012,Mitsubishi,Pajero,"GLS Highline Top",13
2012,Mitsubishi,Pajero,"GLS Highline Top",22
2012,Mitsubishi,Pajero,"GLS Highline Top",73
2012,Mitsubishi,Pajero,"GLS Highline Top",95
2012,Mitsubishi,Pajero,"GLS Highline Top",98
2012,Mitsubishi,Pajero,"GLS Highline Top",103
2012,Mitsubishi,Pajero,"GLS Highline Top",105
2012,Mitsubishi,Pajero,"GLS Highline Top",106
2012,Mitsubishi,Pajero,"GLS Highline Top",108
2012,Mitsubishi,Pajero,"GLS Highline Top",111
2012,Mitsubishi,Pajero,"GLS Highline Top",112
2012,Mitsubishi,Pajero,"GLS Highline Top",114
2012,Mitsubishi,Pajero,"GLS Highline Top",115
2012,Mitsubishi,Pajero,"GLS Mid",21
2012,Mitsubishi,Pajero,"GLS Mid",25
2012,Nissan,370Z,Standard,56
2012,Nissan,Altima,S,8
2012,Nissan,Altima,S,9
2012,Nissan,Altima,S,11
2012,Nissan,Altima,S,13
2012,Nissan,Altima,S,14
2012,Nissan,Altima,S,15
2012,Nissan,Altima,S,16
2012,Nissan,Altima,S,17
2012,Nissan,Altima,S,18
2012,Nissan,Altima,S,21
2012,Nissan,Altima,S,23
2012,Nissan,Altima,S,24
2012,Nissan,Altima,S,25
2012,Nissan,Altima,S,27
2012,Nissan,Altima,S,28
2012,Nissan,Altima,S,29
2012,Nissan,Altima,S,30
2012,Nissan,Altima,S,31
2012,Nissan,Altima,S,34
2012,Nissan,Altima,S,36
2012,Nissan,Altima,S,37
2012,Nissan,Altima,S,38
2012,Nissan,Altima,S,40
2012,Nissan,Altima,S,45
2012,Nissan,Altima,S,47
2012,Nissan,Altima,S,48
2012,Nissan,Altima,S,52
2012,Nissan,Altima,S,55
2012,Nissan,Altima,S,57
2012,Nissan,Altima,S,61
2012,Nissan,Altima,S,62
2012,Nissan,Altima,S,63
2012,Nissan,Altima,S,65
2012,Nissan,Altima,S,67
2012,Nissan,Altima,S,68
2012,Nissan,Altima,S,70
2012,Nissan,Altima,S,74
2012,Nissan,Altima,S,76
2012,Nissan,Altima,S,83
